ORDEM,ESPECIE,ESTRATIFICACAO,SEXO,ESTADO,CLASSIFICACAO,CHAVE,ATIVO
1,BOVINO,00 A 04 MESES,FEMEA,MT_DECLARACAO,Bezerra,MT_DECLARACAO|FEMEA|00 A 04 MESES,SIM
2,BOVINO,00 A 04 MESES,MACHO,MT_DECLARACAO,Bezerro,MT_DECLARACAO|MACHO|00 A 04 MESES,SIM
3,BOVINO,05 A 12 MESES,FEMEA,MT_DECLARACAO,Bezerra,MT_DECLARACAO|FEMEA|05 A 12 MESES,SIM
4,BOVINO,05 A 12 MESES,MACHO,MT_DECLARACAO,Bezerro,MT_DECLARACAO|MACHO|05 A 12 MESES,SIM
5,BOVINO,13 A 24 MESES,FEMEA,MT_DECLARACAO,Bezerra Desmama,MT_DECLARACAO|FEMEA|13 A 24 MESES,SIM
6,BOVINO,13 A 24 MESES,MACHO,MT_DECLARACAO,Bezerro Desmama,MT_DECLARACAO|MACHO|13 A 24 MESES,SIM
7,BOVINO,25 A 36 MESES,FEMEA,MT_DECLARACAO,Novilha,MT_DECLARACAO|FEMEA|25 A 36 MESES,SIM
8,BOVINO,25 A 36 MESES,MACHO,MT_DECLARACAO,Garrote,MT_DECLARACAO|MACHO|25 A 36 MESES,SIM
9,BOVINO,ACIMA DE 36 MESES,FEMEA,MT_DECLARACAO,Vaca,MT_DECLARACAO|FEMEA|ACIMA DE 36 MESES,SIM
10,BOVINO,ACIMA DE 36 MESES,MACHO,MT_DECLARACAO,Boi Gordo,MT_DECLARACAO|MACHO|ACIMA DE 36 MESES,SIM
11,BOVINO,0 A 12 MESES,FEMEA,GO_DECLARACAO,Bezerra,GO_DECLARACAO|FEMEA|0 A 12 MESES,SIM
12,BOVINO,0 A 12 MESES,MACHO,GO_DECLARACAO,Bezerro,GO_DECLARACAO|MACHO|0 A 12 MESES,SIM
13,BOVINO,00 A 04 MESES,FEMEA,GO_DECLARACAO,Bezerra,GO_DECLARACAO|FEMEA|00 A 04 MESES,SIM
14,BOVINO,00 A 04 MESES,MACHO,GO_DECLARACAO,Bezerro,GO_DECLARACAO|MACHO|00 A 04 MESES,SIM
15,BOVINO,05 A 12 MESES,FEMEA,GO_DECLARACAO,Bezerra,GO_DECLARACAO|FEMEA|05 A 12 MESES,SIM
16,BOVINO,05 A 12 MESES,MACHO,GO_DECLARACAO,Bezerro,GO_DECLARACAO|MACHO|05 A 12 MESES,SIM
17,BOVINO,13 A 24 MESES,FEMEA,GO_DECLARACAO,Bezerra Desmama,GO_DECLARACAO|FEMEA|13 A 24 MESES,SIM
18,BOVINO,13 A 24 MESES,MACHO,GO_DECLARACAO,Bezerro Desmama,GO_DECLARACAO|MACHO|13 A 24 MESES,SIM
19,BOVINO,25 A 36 MESES,FEMEA,GO_DECLARACAO,Novilha,GO_DECLARACAO|FEMEA|25 A 36 MESES,SIM
20,BOVINO,25 A 36 MESES,MACHO,GO_DECLARACAO,Garrote,GO_DECLARACAO|MACHO|25 A 36 MESES,SIM
21,BOVINO,ACIMA DE 36 MESES,FEMEA,GO_DECLARACAO,Vaca,GO_DECLARACAO|FEMEA|ACIMA DE 36 MESES,SIM
22,BOVINO,ACIMA DE 36 MESES,MACHO,GO_DECLARACAO,Boi Gordo,GO_DECLARACAO|MACHO|ACIMA DE 36 MESES,SIM
23,BOVINO,0 A 12 MESES,FEMEA,GO IR,Bezerra,GO IR|FEMEA|0 A 12 MESES,SIM
24,BOVINO,0 A 12 MESES,MACHO,GO IR,Bezerro,GO IR|MACHO|0 A 12 MESES,SIM
25,BOVINO,00 A 04 MESES,FEMEA,GO IR,Bezerra,GO IR|FEMEA|00 A 04 MESES,SIM
26,BOVINO,00 A 04 MESES,MACHO,GO IR,Bezerro,GO IR|MACHO|00 A 04 MESES,SIM
27,BOVINO,05 A 12 MESES,FEMEA,GO IR,Bezerra,GO IR|FEMEA|05 A 12 MESES,SIM
28,BOVINO,05 A 12 MESES,MACHO,GO IR,Bezerro,GO IR|MACHO|05 A 12 MESES,SIM
29,BOVINO,13 A 24 MESES,FEMEA,GO IR,Bezerra Desmama,GO IR|FEMEA|13 A 24 MESES,SIM
30,BOVINO,13 A 24 MESES,MACHO,GO IR,Bezerro Desmama,GO IR|MACHO|13 A 24 MESES,SIM
31,BOVINO,25 A 36 MESES,FEMEA,GO IR,Novilha,GO IR|FEMEA|25 A 36 MESES,SIM
32,BOVINO,25 A 36 MESES,MACHO,GO IR,Garrote,GO IR|MACHO|25 A 36 MESES,SIM
33,BOVINO,ACIMA DE 36 MESES,FEMEA,GO IR,Vaca,GO IR|FEMEA|ACIMA DE 36 MESES,SIM
34,BOVINO,ACIMA DE 36 MESES,MACHO,GO IR,Boi Gordo,GO IR|MACHO|ACIMA DE 36 MESES,SIM
35,BOVINO,0 A 12 MESES,FEMEA,MS,Bezerra,MS|FEMEA|0 A 12 MESES,SIM
36,BOVINO,0 A 12 MESES,MACHO,MS,Bezerro,MS|MACHO|0 A 12 MESES,SIM
37,BOVINO,13 A 24 MESES,FEMEA,MS,Bezerra Desmama,MS|FEMEA|13 A 24 MESES,SIM
38,BOVINO,13 A 24 MESES,MACHO,MS,Bezerro Desmama,MS|MACHO|13 A 24 MESES,SIM
39,BOVINO,25 A 36 MESES,FEMEA,MS,Novilha,MS|FEMEA|25 A 36 MESES,SIM
40,BOVINO,25 A 36 MESES,MACHO,MS,Garrote,MS|MACHO|25 A 36 MESES,SIM
41,BOVINO,ACIMA DE 36 MESES,FEMEA,MS,Vaca,MS|FEMEA|ACIMA DE 36 MESES,SIM
42,BOVINO,ACIMA DE 36 MESES,MACHO,MS,Boi Gordo,MS|MACHO|ACIMA DE 36 MESES,SIM
43,BOVINO,0 A 12 MESES,FEMEA,MA,Bezerra,MA|FEMEA|0 A 12 MESES,SIM
44,BOVINO,0 A 12 MESES,MACHO,MA,Bezerro,MA|MACHO|0 A 12 MESES,SIM
45,BOVINO,13 A 24 MESES,FEMEA,MA,Bezerra Desmama,MA|FEMEA|13 A 24 MESES,SIM
46,BOVINO,13 A 24 MESES,MACHO,MA,Bezerro Desmama,MA|MACHO|13 A 24 MESES,SIM
47,BOVINO,25 A 36 MESES,FEMEA,MA,Novilha,MA|FEMEA|25 A 36 MESES,SIM
48,BOVINO,25 A 36 MESES,MACHO,MA,Garrote,MA|MACHO|25 A 36 MESES,SIM
49,BOVINO,ACIMA DE 36 MESES,FEMEA,MA,Vaca,MA|FEMEA|ACIMA DE 36 MESES,SIM
50,BOVINO,ACIMA DE 36 MESES,MACHO,MA,Boi Gordo,MA|MACHO|ACIMA DE 36 MESES,SIM
51,BOVINO,0 A 12 MESES,FEMEA,TO_DECLARACAO,Bezerra,TO_DECLARACAO|FEMEA|0 A 12 MESES,SIM
52,BOVINO,0 A 12 MESES,MACHO,TO_DECLARACAO,Bezerro,TO_DECLARACAO|MACHO|0 A 12 MESES,SIM
53,BOVINO,13 A 24 MESES,FEMEA,TO_DECLARACAO,Bezerra Desmama,TO_DECLARACAO|FEMEA|13 A 24 MESES,SIM
54,BOVINO,13 A 24 MESES,MACHO,TO_DECLARACAO,Bezerro Desmama,TO_DECLARACAO|MACHO|13 A 24 MESES,SIM
55,BOVINO,25 A 36 MESES,FEMEA,TO_DECLARACAO,Novilha,TO_DECLARACAO|FEMEA|25 A 36 MESES,SIM
56,BOVINO,25 A 36 MESES,MACHO,TO_DECLARACAO,Garrote,TO_DECLARACAO|MACHO|25 A 36 MESES,SIM
57,BOVINO,ACIMA DE 36 MESES,FEMEA,TO_DECLARACAO,Vaca,TO_DECLARACAO|FEMEA|ACIMA DE 36 MESES,SIM
58,BOVINO,ACIMA DE 36 MESES,MACHO,TO_DECLARACAO,Boi Gordo,TO_DECLARACAO|MACHO|ACIMA DE 36 MESES,SIM
59,BOVINO,0 A 12 MESES,FEMEA,RO_DECLARACAO,Bezerra,RO_DECLARACAO|FEMEA|0 A 12 MESES,SIM
60,BOVINO,0 A 12 MESES,MACHO,RO_DECLARACAO,Bezerro,RO_DECLARACAO|MACHO|0 A 12 MESES,SIM
61,BOVINO,13 A 24 MESES,FEMEA,RO_DECLARACAO,Bezerra Desmama,RO_DECLARACAO|FEMEA|13 A 24 MESES,SIM
62,BOVINO,13 A 24 MESES,MACHO,RO_DECLARACAO,Bezerro Desmama,RO_DECLARACAO|MACHO|13 A 24 MESES,SIM
63,BOVINO,25 A 36 MESES,FEMEA,RO_DECLARACAO,Novilha,RO_DECLARACAO|FEMEA|25 A 36 MESES,SIM
64,BOVINO,25 A 36 MESES,MACHO,RO_DECLARACAO,Garrote,RO_DECLARACAO|MACHO|25 A 36 MESES,SIM
65,BOVINO,ACIMA DE 36 MESES,FEMEA,RO_DECLARACAO,Vaca,RO_DECLARACAO|FEMEA|ACIMA DE 36 MESES,SIM
66,BOVINO,ACIMA DE 36 MESES,MACHO,RO_DECLARACAO,Boi Gordo,RO_DECLARACAO|MACHO|ACIMA DE 36 MESES,SIM
67,BOVINO,0 A 12 MESES,FEMEA,PA_DECLARACAO,Bezerra,PA_DECLARACAO|FEMEA|0 A 12 MESES,SIM
68,BOVINO,0 A 12 MESES,MACHO,PA_DECLARACAO,Bezerro,PA_DECLARACAO|MACHO|0 A 12 MESES,SIM
69,BOVINO,13 A 24 MESES,FEMEA,PA_DECLARACAO,Bezerra Desmama,PA_DECLARACAO|FEMEA|13 A 24 MESES,SIM
70,BOVINO,13 A 24 MESES,MACHO,PA_DECLARACAO,Bezerro Desmama,PA_DECLARACAO|MACHO|13 A 24 MESES,SIM
71,BOVINO,25 A 36 MESES,FEMEA,PA_DECLARACAO,Novilha,PA_DECLARACAO|FEMEA|25 A 36 MESES,SIM
72,BOVINO,25 A 36 MESES,MACHO,PA_DECLARACAO,Garrote,PA_DECLARACAO|MACHO|25 A 36 MESES,SIM
73,BOVINO,ACIMA DE 36 MESES,FEMEA,PA_DECLARACAO,Vaca,PA_DECLARACAO|FEMEA|ACIMA DE 36 MESES,SIM
74,BOVINO,ACIMA DE 36 MESES,MACHO,PA_DECLARACAO,Boi Gordo,PA_DECLARACAO|MACHO|ACIMA DE 36 MESES,SIM
